[!] Recent Administrators group data doesn't have 4005
[!] Recent Administrators group data doesn't have abdelrahmanurgent
[!] Recent Administrators group data doesn't have Administrator
[!] Recent Administrators group data doesn't have backup-sa
[!] Recent Administrators group data doesn't have devadmin
[!] Recent Administrators group data doesn't have DevScripts
[!] Recent Administrators group data doesn't have GabrUrgent
[!] Recent Administrators group data doesn't have islamadmin
[!] Recent Administrators group data doesn't have KSE
[!] Recent Administrators group data doesn't have maliurgent
[!] Recent Administrators group data doesn't have MTawfikUrgent
[!] Recent Administrators group data doesn't have mwahbaurgent
[!] Recent Administrators group data doesn't have nadaurgent
[!] Recent Administrators group data doesn't have PepoUrgent
[!] Recent Administrators group data doesn't have roadmin
[!] Recent Administrators group data doesn't have solidadmin
[!] Recent Administrators group data doesn't have solidadmintwo
[!] Recent Administrators group data doesn't have solidfinal
[!] Recent Administrators group data doesn't have wpadmin
[!] Recent Administrators group data doesn't have wpsolidadmin
[*] Old Organization Management group data also has solidadmintwo
[*] Old Organization Management group data also has solidfinal
[*] Old Organization Management group data also has wpadmin
[*] Old Organization Management group data also has wpsolidadmin
[*] Recent Schema Admins group data also has 4005
[*] Recent Schema Admins group data also has Administrator
[*] Recent Schema Admins group data also has islamadmin
[*] Recent Schema Admins group data also has MTawfikUrgent
[*] Recent Schema Admins group data also has roadmin
[*] Recent Schema Admins group data also has wpadmin
[*] Old Schema Admins group data also has 4005
[*] Old Schema Admins group data also has Administrator
[*] Old Schema Admins group data also has islamadmin
[*] Old Schema Admins group data also has MTawfikUrgent
[*] Old Schema Admins group data also has roadmin
[*] Old Schema Admins group data also has wpadmin
[*] Recent Server Management group data also has exadmin
[*] Old Server Management group data also has exadmin
[*] Recent View-Only Organization Management group data also has ExchangeMonitor
[*] Recent View-Only Organization Management group data also has QueueMonitor
[*] Old View-Only Organization Management group data also has ExchangeMonitor
[*] Old View-Only Organization Management group data also has QueueMonitor
[*] Recent WP-Services-Import_Export_MBXs group data also has BadawyUrgent
[*] Recent WP-Services-Import_Export_MBXs group data also has PanelExport
[*] Old WP-Services-Import_Export_MBXs group data also has BadawyUrgent
[*] Old WP-Services-Import_Export_MBXs group data also has PanelExport
[*] Recent WP-Support-L2 group data also has mwahbaurgent
[*] Recent WP-Support-L2 group data also has nadaurgent
[*] Old WP-Support-L2 group data also has mwahbaurgent
[*] Old WP-Support-L2 group data also has nadaurgent
05/30/2021 16:42:24 [!] change detected. Sending mail.

ChangedMember     ChangedGroup   ChangeType
-------------     ------------   ----------
4005              Administrators Removal   
abdelrahmanurgent Administrators Removal   
Administrator     Administrators Removal   
backup-sa         Administrators Removal   
devadmin          Administrators Removal   
DevScripts        Administrators Removal   
GabrUrgent        Administrators Removal   
islamadmin        Administrators Removal   
KSE               Administrators Removal   
maliurgent        Administrators Removal   
MTawfikUrgent     Administrators Removal   
mwahbaurgent      Administrators Removal   
nadaurgent        Administrators Removal   
PepoUrgent        Administrators Removal   
roadmin           Administrators Removal   
solidadmin        Administrators Removal   
solidadmintwo     Administrators Removal   
solidfinal        Administrators Removal   
wpadmin           Administrators Removal   
wpsolidadmin      Administrators Removal   


