"Domain","MX","TXT","SRV","Error"
"elwatnya-co.com","wp-secure-cloudmail04.worldposta.com",,,
"elwatnya-co.com","wp-secure-cloudmail02.worldposta.com",,,
"elwatnya-co.com","wp-secure-cloudmail03.worldposta.com",,,
"elwatnya-co.com",,"WorldPosta-verification=l0dEEDD8FVydeACJoelGLg3aKyOZpsa1q5UsDIGJlXjb7JcC79",,
"elwatnya-co.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"elwatnya-co.com",,,,"_autodiscover._tcp.elwatnya-co.com : DNS name does not exist"
"energya-pts.com","wp-secure-cloudmail02.worldposta.com",,,
"energya-pts.com","wp-secure-cloudmail01.worldposta.com",,,
"energya-pts.com","wp-secure-cloudmail04.worldposta.com",,,
"energya-pts.com","wp-secure-cloudmail03.worldposta.com",,,
"energya-pts.com",,,,"energya-pts.com : Bad DNS packet"
"fcportal.ae","fcportal.ae",,,
"fcportal.ae",,"v=spf1 +a +mx +ip4:167.86.125.183 +include:_spf.worldposta.com -all",,
"fcportal.ae",,,,"_autodiscover._tcp.fcportal.ae : DNS name does not exist"
"gapit.us","",,,
"gapit.us",,"",,
"gapit.us",,,"",
"greenways.com.pk",,,,"greenways.com.pk : DNS name does not exist"
"grubersqatar.com","wp-secure-cloudmail02.worldposta.com",,,
"grubersqatar.com","wp-secure-cloudmail03.worldposta.com",,,
"grubersqatar.com","wp-secure-cloudmail04.worldposta.com",,,
"grubersqatar.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"grubersqatar.com",,"WorldPosta-verification=gdlK2ndNZtkPv2YDjMrwJr3bE9MtbPDB9n9jOO6Hl9SB5zWxTn",,
"grubersqatar.com",,,"autodiscover.worldposta.com",
"gsa-egy.com","wp-secure-cloudmail04.worldposta.com",,,
"gsa-egy.com","wp-secure-cloudmail01.worldposta.com",,,
"gsa-egy.com","wp-secure-cloudmail02.worldposta.com",,,
"gsa-egy.com","wp-secure-cloudmail03.worldposta.com",,,
"gsa-egy.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"gsa-egy.com",,,"autodiscover.worldposta.com",
"ilsme.com","ilsme-com.mail.protection.outlook.com",,,
"ilsme.com",,"v=spf1 include:spf.protection.outlook.com -all",,
"ilsme.com",,"MS=ms52735259",,
"ilsme.com",,"google-site-verification=sR26Br-9tkkyMkgGsA-v4jDvYNjAhHRWFYZP3ms2Vq4",,
"ilsme.com",,,"",
"ilsme.com",,,"",
"inshieldinsurance.com",,,,"inshieldinsurance.com : DNS name does not exist"
"lascopaque.com","wp-secure-cloudmail01.worldposta.com",,,
"lascopaque.com","wp-secure-cloudmail02.worldposta.com",,,
"lascopaque.com","wp-secure-cloudmail03.worldposta.com",,,
"lascopaque.com","wp-secure-cloudmail04.worldposta.com",,,
"lascopaque.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"lascopaque.com",,,"autodiscover.worldposta.com",
"massarsupplies.com","wp-secure-cloudmail01.worldposta.com",,,
"massarsupplies.com","wp-secure-cloudmail02.worldposta.com",,,
"massarsupplies.com","wp-secure-cloudmail03.worldposta.com",,,
"massarsupplies.com","wp-secure-cloudmail04.worldposta.com",,,
"massarsupplies.com",,"WorldPosta-verification=rurUnELoJD8tQmQ251O1PeEE4JxctX3VJuTgfMnhviVFjV4RFQ",,
"massarsupplies.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"massarsupplies.com",,,"autodiscover.worldposta.com",
"mav-enterprise.com","wp-secure-cloudmail03.worldposta.com",,,
"mav-enterprise.com","wp-secure-cloudmail04.worldposta.com",,,
"mav-enterprise.com","wp-secure-cloudmail01.worldposta.com",,,
"mav-enterprise.com","wp-secure-cloudmail02.worldposta.com",,,
"mav-enterprise.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"mav-enterprise.com",,,"autodiscover.worldposta.com",
"networkback.com","",,,
"us-east-2.elb.amazonaws.com","",,,
"networkback.com",,"",,
"us-east-2.elb.amazonaws.com",,"",,
"networkback.com",,,"",
"networkback.com",,,"",
"newmixeg.com",,,,"newmixeg.com : DNS name does not exist"
"noblecatsociety.com","wp-secure-cloudmail01.worldposta.com",,,
"noblecatsociety.com","wp-secure-cloudmail02.worldposta.com",,,
"noblecatsociety.com","wp-secure-cloudmail04.worldposta.com",,,
"noblecatsociety.com","wp-secure-cloudmail03.worldposta.com",,,
"noblecatsociety.com",,"v=spf1 mx include:_spf.worldposta.com include:servers.mcsv.net ???all",,
"noblecatsociety.com",,"WorldPosta-verification=iBe6BTlLXKV3DAnC0oCvyHefGRCDsxk36D72TiAw8QpAVvDG8T",,
"noblecatsociety.com",,"v=spf1 include:servers.mcsv.net ?all",,
"noblecatsociety.com",,,"autodiscover.worldposta.com",
"noon-center.com","wp-secure-cloudmail01.worldposta.com",,,
"noon-center.com","wp-secure-cloudmail02.worldposta.com",,,
"noon-center.com","wp-secure-cloudmail03.worldposta.com",,,
"noon-center.com","wp-secure-cloudmail04.worldposta.com",,,
"noon-center.com",,"google-site-verification=xFnVVUWRDgXCdoThVX0pHKSeGKMVWUZl882Z5MJm8UY",,
"noon-center.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"noon-center.com",,"WorldPosta-verification=CNXCj5PoOsGvbzZENOjvShUfznq9JKPd6tLfLXYe91fjs2rDBz",,
"noon-center.com",,,"autodiscover.worldposta.com",
"panda-leap.com","wp-secure-cloudmail01.worldposta.com",,,
"panda-leap.com","wp-secure-cloudmail02.worldposta.com",,,
"panda-leap.com","wp-secure-cloudmail03.worldposta.com",,,
"panda-leap.com","wp-secure-cloudmail04.worldposta.com",,,
"panda-leap.com",,"WorldPosta-verification=WOWy3FsCMR3pv0O97l2eXps7Iizoj7YZYeReETvDbbdQ7UGAWQ",,
"panda-leap.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"panda-leap.com",,,,"_autodiscover._tcp.panda-leap.com : DNS name does not exist"
"platinumtrading-eg.com","wp-secure-cloudmail01.worldposta.com",,,
"platinumtrading-eg.com","wp-secure-cloudmail02.worldposta.com",,,
"platinumtrading-eg.com","wp-secure-cloudmail03.worldposta.com",,,
"platinumtrading-eg.com","wp-secure-cloudmail04.worldposta.com",,,
"platinumtrading-eg.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"platinumtrading-eg.com",,,"autodiscover.worldposta.com",
"provence-eg.com","",,,
"provence-eg.com",,"",,
"provence-eg.com",,,,"_autodiscover._tcp.provence-eg.com : DNS name does not exist"
"QasemStore.com","wp-secure-cloudmail01.worldposta.com",,,
"QasemStore.com","wp-secure-cloudmail02.worldposta.com",,,
"QasemStore.com","wp-secure-cloudmail03.worldposta.com",,,
"QasemStore.com","wp-secure-cloudmail04.worldposta.com",,,
"QasemStore.com",,"WorldPosta-verification=ndnCXC0m4EnUaDviTwnK3X0hEPxUvZmtkUfTo4EYONzfQHAIkr",,
"QasemStore.com",,"v=spf1 mx include:_spf.worv=spf1 mx include:_spf.worldposta.com -allldposta.com -all",,
"QasemStore.com",,,"autodiscover.worldposta.com",
"queendimarine.com","wp-secure-cloudmail01.worldposta.com",,,
"queendimarine.com","wp-secure-cloudmail02.worldposta.com",,,
"queendimarine.com","wp-secure-cloudmail03.worldposta.com",,,
"queendimarine.com","wp-secure-cloudmail04.worldposta.com",,,
"queendimarine.com",,"",,
"queendimarine.com",,,"autodiscover.worldposta.com",
"roaya.co","wp-secure-cloudmail01.roaya.co",,,
"roaya.co",,"v=spf1 mx include:_spf.worldposta.com -all",,
"roaya.co",,,"autodiscover.worldposta.com",
"roaya.loc",,,,"roaya.loc : DNS name does not exist"
"roayamail.com",,,,"roayamail.com : DNS name does not exist"
"roayastore.com","wp-secure-cloudmail02.worldposta.com",,,
"roayastore.com","wp-secure-cloudmail01.worldposta.com",,,
"roayastore.com","wp-secure-cloudmail03.worldposta.com",,,
"roayastore.com",,"v=spf1 mx a include:_spf.worldposta.com -all",,
"roayastore.com",,,"autodiscover.roaya.co",
"roayatechnology.com","mx-01.roayatechnology.com",,,
"roayatechnology.com","mx-02.roayatechnology.com",,,
"roayatechnology.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"roayatechnology.com",,"WorldPosta-verification=xqdNRNebeu0xiSebATKW1ZG7YFNAxqsjtOOTll0C2YUbh7obdE",,
"roayatechnology.com",,,"autodiscover.worldposta.com",
"schlhomes.com","wp-secure-cloudmail01.worldposta.com",,,
"schlhomes.com","wp-secure-cloudmail02.worldposta.com",,,
"schlhomes.com","wp-secure-cloudmail03.worldposta.com",,,
"schlhomes.com","wp-secure-cloudmail04.worldposta.com",,,
"schlhomes.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"schlhomes.com",,,"autodiscover.worldposta.com",
"telebirdeg.com","wp-secure-cloudmail02.worldposta.com",,,
"telebirdeg.com","wp-secure-cloudmail04.worldposta.com",,,
"telebirdeg.com","wp-secure-cloudmail03.worldposta.com",,,
"telebirdeg.com","wp-secure-cloudmail01.worldposta.com",,,
"telebirdeg.com",,"v=spf1 ip4:5.9.90.154 ip4:5.9.90.154 ip4:94.23.250.16 mx include:_spf.worldposta.com -all",,
"telebirdeg.com",,,"autodiscover.worldposta.com",
"terceirasoft.com","mx2.cleanmx.pt",,,
"terceirasoft.com","mx1.cleanmx.pt",,,
"terceirasoft.com",,"WorldPosta-verification=0jJGMBkXFSzmdLtPOzGWtI8OG8Bsp86aXtLo9xUUFUZLom8FJB",,
"terceirasoft.com",,"v=spf1 mx include:_spf.worldposta.com include:_spf.cleanmx.pt -all",,
"terceirasoft.com",,,,"_autodiscover._tcp.terceirasoft.com : DNS name does not exist"
"tmcleaninguae.com","wp-secure-cloudmail01.worldposta.com",,,
"tmcleaninguae.com","wp-secure-cloudmail02.worldposta.com",,,
"tmcleaninguae.com","wp-secure-cloudmail03.worldposta.com",,,
"tmcleaninguae.com","wp-secure-cloudmail04.worldposta.com",,,
"tmcleaninguae.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"tmcleaninguae.com",,,"autodiscover.worldposta.com",
"Topprintsolutions.com","wp-secure-cloudmail03.worldposta.com",,,
"Topprintsolutions.com","wp-secure-cloudmail04.worldposta.com",,,
"Topprintsolutions.com","wp-secure-cloudmail02.worldposta.com",,,
"Topprintsolutions.com","wp-secure-cloudmail01.worldposta.com",,,
"Topprintsolutions.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"Topprintsolutions.com",,,"autodiscover.worldposta.com",
"uniqueimpacts.com","",,,
"uniqueimpacts.com",,"",,
"uniqueimpacts.com",,,,"_autodiscover._tcp.uniqueimpacts.com : DNS name does not exist"
"WorldPosta-Internal-Domains",,,,"WorldPosta-Internal-Domains : The filename, directory name, or volume label syntax is incorrect"
"worldposta-trial.com","wp-secure-cloudmail01.worldposta.com",,,
"worldposta-trial.com","wp-secure-cloudmail02.worldposta.com",,,
"worldposta-trial.com","wp-secure-cloudmail03.worldposta.com",,,
"worldposta-trial.com","wp-secure-cloudmail04.worldposta.com",,,
"worldposta-trial.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"worldposta-trial.com",,"WorldPosta-verification=gAC7Pp5rUCNehUVlIKEQEmUgyEQ4FKjpepoJtKCBOG3Spovzvu",,
"worldposta-trial.com",,,,"_autodiscover._tcp.worldposta-trial.com : DNS name does not exist"
"worldposta.com","wp-secure-cloudmail04.worldposta.com",,,
"worldposta.com","wp-secure-cloudmail03.worldposta.com",,,
"worldposta.com","wp-secure-cloudmail01.worldposta.com",,,
"worldposta.com","wp-secure-cloudmail02.worldposta.com",,,
"worldposta.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"worldposta.com",,"google-site-verification=JnHBxkxjRNaDL3PtRNnuU2DIS0au2JWpMSBQ5kcDFAU",,
"worldposta.com",,,"autodiscover.worldposta.com",
"wp.uiy.com","",,,
"uiy.com","",,,
"wp.uiy.com",,"",,
"uiy.com",,"",,
"wp.uiy.com",,,"",
"wp.uiy.com",,,"",
"wpcloud.info",,,,"wpcloud.info : DNS name does not exist"
"Wxpo.com","wp-secure-cloudmail01.worldposta.com",,,
"Wxpo.com","wp-secure-cloudmail02.worldposta.com",,,
"Wxpo.com","wp-secure-cloudmail03.worldposta.com",,,
"Wxpo.com","wp-secure-cloudmail04.worldposta.com",,,
"Wxpo.com",,"v=DMARC1;p=none;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400;rua=mailto:report@worldposta.com;ruf=mailto:report@worldposta.com",,
"Wxpo.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"Wxpo.com",,,"autodiscover.worldposta.com",
"xproaction.online","wp-secure-cloudmail01.worldposta.com",,,
"xproaction.online","wp-secure-cloudmail02.worldposta.com",,,
"xproaction.online","wp-secure-cloudmail03.worldposta.com",,,
"xproaction.online","wp-secure-cloudmail04.worldposta.com",,,
"xproaction.online",,"v=spf1 mx include:_spf.worldposta.com -all",,
"xproaction.online",,"WorldPosta-verification=8lP7CTrDlA0SzWRaCUh5g2nV2Vlv5EnJzANEYTD8w5VpVuzSgI",,
"xproaction.online",,,"autodiscover.worldposta.com",
"ziberna.us","mx2.forwardmx.io",,,
"ziberna.us","mx1.forwardmx.io",,,
"ziberna.us","wp-secure-cloudmail01.worldposta.com",,,
"ziberna.us","wp-secure-cloudmail02.worldposta.com",,,
"ziberna.us","wp-secure-cloudmail03.worldposta.com",,,
"ziberna.us","wp-secure-cloudmail04.worldposta.com",,,
"ziberna.us",,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
"ziberna.us",,"ca3-92576d9a208c4e0cb29fe8f6ce35a1af",,
"ziberna.us",,"WorldPosta-verification=g9c4bgfFTddCw9PURDkkloCkFruX3ryUIhw5xsa125eu3nLFKp",,
"ziberna.us",,"v=spf1 mx include:_spf.worldposta.com -all",,
"ziberna.us",,"v=spf1 include:servers.mcsv.net ?all",,
"ziberna.us",,,"autodiscover.worldposta.com",
"eaco.co","wp-secure-cloudmail01.worldposta.com",,,
"eaco.co","wp-secure-cloudmail02.worldposta.com",,,
"eaco.co","wp-secure-cloudmail03.worldposta.com",,,
"eaco.co","wp-secure-cloudmail04.worldposta.com",,,
"eaco.co",,"v=spf1 mx include:_spf.worldposta.com -all",,
"eaco.co",,,"autodiscover.worldposta.com",
"bluebus.com.eg","wp-secure-cloudmail04.worldposta.com",,,
"bluebus.com.eg","wp-secure-cloudmail03.worldposta.com",,,
"bluebus.com.eg","wp-secure-cloudmail02.worldposta.com",,,
"bluebus.com.eg","wp-secure-cloudmail01.worldposta.com",,,
"bluebus.com.eg",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"bluebus.com.eg",,"facebook-domain-verification=7qtohioj3lt7gbnkurw2huuf4lxim1",,
"bluebus.com.eg",,"google-site-verification=GCvLDXAXzS-1RCLWpYfvRcKUF3Q5JVj4nFpF2Rz8hhQ",,
"bluebus.com.eg",,,"autodiscover.worldposta.com",
"pharopharma.com","wp-secure-cloudmail01.worldposta.com",,,
"pharopharma.com","wp-secure-cloudmail02.worldposta.com",,,
"pharopharma.com","wp-secure-cloudmail03.worldposta.com",,,
"pharopharma.com","wp-secure-cloudmail04.worldposta.com",,,
"pharopharma.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"pharopharma.com",,,"autodiscover.worldposta.com",
"energyacables.com",,,,"energyacables.com : Bad DNS packet"
"mobica.net","wp-secure-cloudmail04.worldposta.com",,,
"mobica.net","wp-secure-cloudmail01.worldposta.com",,,
"mobica.net","wp-secure-cloudmail02.worldposta.com",,,
"mobica.net","wp-secure-cloudmail03.worldposta.com",,,
"mobica.net",,"v=spf1 mx include:_spf.worldposta.com -all",,
"mobica.net",,"MS=79409A2707C317CCAC2C170AEFAB20E3726B6464",,
"mobica.net",,,"autodiscover.worldposta.com",
"egypteurosuppliers.net","wp-secure-cloudmail01.worldposta.com",,,
"egypteurosuppliers.net","wp-secure-cloudmail02.worldposta.com",,,
"egypteurosuppliers.net","wp-secure-cloudmail03.worldposta.com",,,
"egypteurosuppliers.net","wp-secure-cloudmail04.worldposta.com",,,
"egypteurosuppliers.net",,"v=spf1 mx include:_spf.worldposta.com -all",,
"egypteurosuppliers.net",,,"autodiscover.worldposta.com",
"ees.com.eg","wp-secure-cloudmail02.worldposta.com",,,
"ees.com.eg","wp-secure-cloudmail04.worldposta.com",,,
"ees.com.eg","wp-secure-cloudmail03.worldposta.com",,,
"ees.com.eg","wp-secure-cloudmail01.worldposta.com",,,
"ees.com.eg",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"ees.com.eg",,"google-site-verification=3hXvDdZDR2tG2Vm3DzFmZbpPbpfuwRyBIlIpjPRbHSk",,
"ees.com.eg",,,,"_autodiscover._tcp.ees.com.eg : DNS name does not exist"
"circlecompany.com","wp-secure-cloudmail01.worldposta.com",,,
"circlecompany.com","wp-secure-cloudmail02.worldposta.com",,,
"circlecompany.com","wp-secure-cloudmail03.worldposta.com",,,
"circlecompany.com","wp-secure-cloudmail04.worldposta.com",,,
"circlecompany.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"circlecompany.com",,"v=spf1 ip4:66.96.128.0/18 ?all",,
"circlecompany.com",,,,"_autodiscover._tcp.circlecompany.com : DNS name does not exist"
"careers.mobica.net","",,,
"bayt.com","",,,
"careers.mobica.net",,"",,
"c167.bayt.com",,"v=spf1 a include:mta1.bayt.com ~all",,
"careers.mobica.net",,,,"_autodiscover._tcp.careers.mobica.net : DNS name does not exist"
"ibs-construction.com","wp-secure-cloudmail01.worldposta.com",,,
"ibs-construction.com","wp-secure-cloudmail02.worldposta.com",,,
"ibs-construction.com","wp-secure-cloudmail03.worldposta.com",,,
"ibs-construction.com","wp-secure-cloudmail04.worldposta.com",,,
"ibs-construction.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"ibs-construction.com",,"v=DMARC1; p=none; rua=mailto:report@worldposta.com; ruf=mailto:report@worldposta.com; sp=none;",,
"ibs-construction.com",,,"autodiscover.worldposta.com",
"smg.com.eg","wp-secure-cloudmail04.worldposta.com",,,
"smg.com.eg","wp-secure-cloudmail01.worldposta.com",,,
"smg.com.eg","wp-secure-cloudmail02.worldposta.com",,,
"smg.com.eg","wp-secure-cloudmail03.worldposta.com",,,
"smg.com.eg",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"smg.com.eg",,,"autodiscover.worldposta.com",
"orchidiapharmaceutical.com","wp-secure-cloudmail01.worldposta.com",,,
"orchidiapharmaceutical.com","wp-secure-cloudmail02.worldposta.com",,,
"orchidiapharmaceutical.com","wp-secure-cloudmail03.worldposta.com",,,
"orchidiapharmaceutical.com","wp-secure-cloudmail04.worldposta.com",,,
"orchidiapharmaceutical.com",,"MS=63F168A33BD63B4CB3144EA9BB33E658F22B1360",,
"orchidiapharmaceutical.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"orchidiapharmaceutical.com",,,"autodiscover.worldposta.com",
"egyptbestproperties.com","wp-secure-cloudmail03.worldposta.com",,,
"egyptbestproperties.com","wp-secure-cloudmail04.worldposta.com",,,
"egyptbestproperties.com","wp-secure-cloudmail01.worldposta.com",,,
"egyptbestproperties.com","wp-secure-cloudmail02.worldposta.com",,,
"egyptbestproperties.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"egyptbestproperties.com",,"WorldPosta-verification=RFn9wjQlLAtSdlUHcOgXDjh6qG95mT9vgqSzWqCP5SRxymKD53",,
"egyptbestproperties.com",,,"autodiscover.worldposta.com",
"egyptbestproperties.net","wp-secure-cloudmail04.worldposta.com",,,
"egyptbestproperties.net","wp-secure-cloudmail02.worldposta.com",,,
"egyptbestproperties.net","wp-secure-cloudmail03.worldposta.com",,,
"egyptbestproperties.net","wp-secure-cloudmail01.worldposta.com",,,
"egyptbestproperties.net",,"WorldPosta-verification=QvNwVUz6okfnop2uZkIwBcgLEvE0EWOgWXqHqDTY3nDDbMHCZ1",,
"egyptbestproperties.net",,"v=spf1 mx include:_spf.worldposta.com -all",,
"egyptbestproperties.net",,,"autodiscover.worldposta.com",
"alarabia-group.com","wp-secure-cloudmail02.worldposta.com",,,
"alarabia-group.com","wp-secure-cloudmail01.worldposta.com",,,
"alarabia-group.com","wp-secure-cloudmail03.worldposta.com",,,
"alarabia-group.com","wp-secure-cloudmail04.worldposta.com",,,
"alarabia-group.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"alarabia-group.com",,"ZOOM_verify_mtjcRH7eSNqfaESHvSK2cQ",,
"alarabia-group.com",,,"autodiscover.worldposta.com",
"alezz-trade.com","wp-secure-cloudmail04.worldposta.com",,,
"alezz-trade.com","wp-secure-cloudmail01.worldposta.com",,,
"alezz-trade.com","wp-secure-cloudmail02.worldposta.com",,,
"alezz-trade.com","wp-secure-cloudmail03.worldposta.com",,,
"alezz-trade.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"alezz-trade.com",,,"autodiscover.worldposta.com",
"capital-egy.com","wp-secure-cloudmail01.worldposta.com",,,
"capital-egy.com","wp-secure-cloudmail02.worldposta.com",,,
"capital-egy.com","wp-secure-cloudmail03.worldposta.com",,,
"capital-egy.com","wp-secure-cloudmail04.worldposta.com",,,
"capital-egy.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
